"Week","location","team","school","opp","school2"
"346",2,"Away","Jackson State","Jackson State","Southern Miss","Southern Miss"
"347",2,"Away","Gardner-Webb","Gardner-Webb","Georgia Tech","Georgia Tech"
"348",2,"Away","East Texas A&M","East Texas A&M","Florida State","Florida State"
"349",2,"Away","Texas Southern","Texas Southern","California","California"
"350",2,"Away","Utah State","Utah State","Texas A&M","Texas A&M"
"351",2,"Away","Tulsa","Tulsa","New Mexico State","New Mexico State"
"352",2,"Away","Liberty","Liberty","Jacksonville State","Jacksonville State"
"353",2,"Away","Texas State","Texas State","UTSA","UTSA"
"354",2,"Away","Houston","Houston","Rice","Rice"
"355",3,"Home","Wake Forest","Wake Forest","NC State","NC State"
"356",3,"Home","Syracuse","Syracuse","Colgate","Colgate"
"357",3,"Home","Arizona","Arizona","Kansas State","Kansas State"
"358",3,"Home","Charlotte","Charlotte","Monmouth","Monmouth"
"359",3,"Home","Georgia Tech","Georgia Tech","Clemson","Clemson"
"360",3,"Home","Kent State","Kent State","Buffalo","Buffalo"
"361",3,"Home","Toledo","Toledo","Morgan State","Morgan State"
"362",3,"Home","Miami","Miami","South Florida","South Florida"
"363",3,"Home","Delaware","Delaware","UConn","UConn"
"364",3,"Home","Southern Miss","Southern Miss","App State","App State"
"365",3,"Home","Virginia Tech","Virginia Tech","Old Dominion","Old Dominion"
"366",3,"Home","Baylor","Baylor","Samford","Samford"
"367",3,"Home","Temple","Temple","Oklahoma","Oklahoma"
"368",3,"Home","Tulsa","Tulsa","Navy","Navy"
"369",3,"Home","Missouri State","Missouri State","SMU","SMU"
"370",3,"Home","Georgia State","Georgia State","Murray State","Murray State"
"371",3,"Home","Mississippi State","Mississippi State","Alcorn State","Alcorn State"
"372",3,"Home","Virginia","Virginia","William & Mary","William & Mary"
"373",3,"Home","North Texas","North Texas","Washington State","Washington State"
"374",3,"Home","Hawai'i","Hawai'i","Portland State","Portland State"
"375",3,"Home","South Carolina","South Carolina","Vanderbilt","Vanderbilt"
"376",3,"Home","California","California","Minnesota","Minnesota"
"377",3,"Home","Stanford","Stanford","Boston College","Boston College"
"378",3,"Home","Fresno State","Fresno State","Southern","Southern"
"379",3,"Home","Utah State","Utah State","Air Force","Air Force"
"380",3,"Home","Troy","Troy","Memphis","Memphis"
"381",3,"Home","UAB","UAB","Akron","Akron"
"382",3,"Home","UNLV","UNLV","Idaho State","Idaho State"
"383",3,"Home","Nevada","Nevada","Middle Tennessee","Middle Tennessee"
"384",3,"Home","Texas","Texas","UTEP","UTEP"
"385",3,"Home","West Virginia","West Virginia","Pittsburgh","Pittsburgh"
"386",3,"Home","UTSA","UTSA","Incarnate Word","Incarnate Word"
"387",3,"Home","Rutgers","Rutgers","Norfolk State","Norfolk State"
"388",3,"Home","Ohio State","Ohio State","Ohio","Ohio"
"389",3,"Home","Nebraska","Nebraska","Houston Christian","Houston Christian"
"390",3,"Home","Wyoming","Wyoming","Utah","Utah"
"391",3,"Home","Auburn","Auburn","South Alabama","South Alabama"
"392",3,"Home","Alabama","Alabama","Wisconsin","Wisconsin"
"393",3,"Home","North Carolina","North Carolina","Richmond","Richmond"
"394",3,"Home","Michigan","Michigan","Central Michigan","Central Michigan"
"395",3,"Home","TCU","TCU","Abilene Christian","Abilene Christian"
"396",3,"Home","Penn State","Penn State","Villanova","Villanova"
"397",3,"Home","Michigan State","Michigan State","Youngstown State","Youngstown State"
"398",3,"Home","Louisiana Tech","Louisiana Tech","New Mexico State","New Mexico State"
"399",3,"Home","Florida International","Florida International","Florida Atlantic","Florida Atlantic"
"400",3,"Home","Houston","Houston","Colorado","Colorado"
"401",3,"Home","Illinois","Illinois","Western Michigan","Western Michigan"
"402",3,"Home","Maryland","Maryland","Towson","Towson"
"403",3,"Home","Iowa","Iowa","Massachusetts","Massachusetts"
"404",3,"Home","Tennessee","Tennessee","Georgia","Georgia"
"405",3,"Home","Arkansas State","Arkansas State","Iowa State","Iowa State"
"406",3,"Home","Notre Dame","Notre Dame","Texas A&M","Texas A&M"
"407",3,"Home","Indiana","Indiana","Indiana State","Indiana State"
"408",3,"Home","Texas Tech","Texas Tech","Oregon State","Oregon State"
"409",3,"Home","Northwestern","Northwestern","Oregon","Oregon"
"410",3,"Home","Marshall","Marshall","Eastern Kentucky","Eastern Kentucky"
"411",3,"Home","Georgia Southern","Georgia Southern","Jacksonville State","Jacksonville State"
"412",3,"Home","Kentucky","Kentucky","Eastern Michigan","Eastern Michigan"
